Time stamp,Temp C,Conductivity ,Vertical Position ,pH,ORP mV,Turbidity NTU,Chl ug/L,Phycocyanin ,ODO & sat,ODO mg/L
4/7/26 14:39,4.708,242.16,47.49,7.08,36.03,113.17,13.16,2.93,74.63,9.59
4/7/26 14:39,4.697,204.86,46.479,7.59,10.75,50.05,0.56,0.64,74.46,9.57
4/7/26 14:39,4.699,205.17,45.526,7.66,18.6,64.46,0.8,0.61,75.02,9.65
4/7/26 14:39,4.703,205.21,44.418,7.71,21.04,43.38,0.63,0.62,75.33,9.69
4/7/26 14:39,4.715,206.08,43.477,7.74,9.32,24.36,0.11,0.54,75.08,9.65
4/7/26 14:39,4.72,205.91,42.477,7.79,15.24,64.45,0.92,0.64,75.19,9.66
4/7/26 14:39,4.746,205.1,41.444,7.86,11.62,44.11,0.38,0.59,74.85,9.61
4/7/26 14:39,4.753,205.42,40.419,7.88,20.3,15.29,-0.09,0.47,74.13,9.52
4/7/26 14:39,4.758,208.66,39.452,7.9,9.13,45.18,-0.17,0.49,74.83,9.61
4/7/26 14:39,4.799,206.77,38.461,7.9,15.87,23.11,0.17,0.55,74.53,9.56
4/7/26 14:39,4.831,205.46,37.444,7.9,26.88,8.7,-0.18,0.47,73.83,9.46
4/7/26 14:39,4.855,205.41,36.415,7.92,41.68,11.82,0.04,0.47,74.8,9.58
4/7/26 14:39,4.888,206.08,35.403,7.9,46.05,3.39,-0.07,0.45,73.93,9.46
4/7/26 14:39,4.909,206.01,34.441,7.9,48.92,2.96,-0.15,0.4,73.69,9.42
4/7/26 14:39,4.947,206.85,33.39,7.89,53.2,7.49,-0.12,0.42,73.25,9.36
4/7/26 14:39,4.997,206.47,32.483,7.89,53.95,7.43,-0.1,0.43,73.59,9.39
4/7/26 14:39,5.115,206.52,31.444,7.91,56.57,13.8,0.03,0.48,75.01,9.54
4/7/26 14:39,5.197,206.84,30.413,7.94,58.5,15.05,-0.01,0.46,76.08,9.66
4/7/26 14:39,5.356,208.09,29.419,7.95,57.08,8.25,0.02,0.41,76.63,9.69
4/7/26 14:39,5.517,208.69,28.45,7.94,54.46,2.85,-0.11,0.43,76.33,9.61
4/7/26 14:39,5.807,209.84,27.372,7.93,53.14,2.68,-0.12,0.44,75.72,9.46
4/7/26 14:39,5.946,210.27,26.462,7.92,55.56,6.62,-0.08,0.39,75.18,9.36
4/7/26 14:39,6.225,211.05,25.469,7.91,51.97,9.94,-0.09,0.4,75.23,9.3
4/7/26 14:39,6.387,211.16,24.452,7.91,51.69,6.95,-0.09,0.4,75,9.24
4/7/26 14:39,6.641,211.42,23.382,7.9,52.38,11.4,-0.09,0.4,74.89,9.17
4/7/26 14:39,6.845,211.8,22.456,7.91,57.64,4.3,0.05,0.41,74.91,9.12
4/7/26 14:39,7.056,212.24,21.414,7.92,59.16,8.03,0.07,0.39,75.23,9.11
4/7/26 14:39,7.133,212.21,20.463,7.93,60.55,6.56,-0.01,0.36,75.35,9.11
4/7/26 14:39,7.252,213.86,19.401,7.93,63.2,4.59,0.1,0.37,75.79,9.13
4/7/26 14:39,7.362,212.07,18.423,7.95,66.99,4.41,-0.02,0.37,76.03,9.14
4/7/26 14:39,7.491,212.55,17.418,7.95,67.1,3.88,-0.03,0.37,76.27,9.14
4/7/26 14:39,7.565,213.89,16.427,7.95,68.19,3.53,-0.08,0.39,76.67,9.17
4/7/26 14:39,7.636,214.2,15.431,7.97,70.47,2.8,0.08,0.34,76.96,9.19
4/7/26 14:39,7.738,215.01,14.384,7.98,74.75,2.68,-0.02,0.37,77.34,9.21
4/7/26 14:39,7.94,213.79,13.395,7.99,77.87,2.56,0,0.34,77.72,9.21
4/7/26 14:39,8.214,216.33,12.416,8,80.01,2.53,0.1,0.36,78.21,9.21
4/7/26 14:39,8.372,216.65,11.38,8.02,81.68,2.84,0,0.34,78.62,9.22
4/7/26 14:39,9.096,218.95,10.448,8.06,81.79,2.65,0.5,0.35,80.42,9.27
4/7/26 14:39,9.325,219.3,9.42,8.1,82.46,2.16,0.55,0.35,80.6,9.24
4/7/26 14:39,9.392,219.73,8.389,8.12,83.94,3.21,0.73,0.34,80.94,9.26
4/7/26 14:39,9.433,219.98,7.421,8.13,85.52,2.29,0.44,0.35,81.19,9.28
4/7/26 14:39,9.492,220.6,6.428,8.13,87.36,2.18,0.59,0.3,81.36,9.29
4/7/26 14:39,9.604,221.94,5.422,8.14,88.8,2.4,0.71,0.31,81.83,9.32
4/7/26 14:39,9.699,222.69,4.354,8.14,89.93,2.09,0.52,0.32,82.1,9.33
4/7/26 14:39,9.755,223.16,3.422,8.14,91.35,2.09,0.43,0.32,82.26,9.33
4/7/26 14:39,9.877,223.91,2.374,8.14,92.73,2.16,0.57,0.33,82.52,9.33
4/7/26 14:39,9.926,223.89,1.385,8.14,94.08,2.02,0.38,0.35,82.65,9.34
4/7/26 14:39,9.943,223.75,0.896,8.14,95.06,2,0.37,0.32,82.69,9.34
4/7/26 18:06,4.714,207.2,47.808,7.87,176.5,3.8,-0.09,0.41,70.91,9.11
4/7/26 18:08,4.702,205.41,46.816,7.88,164.95,2.52,-0.25,0.4,71.44,9.18
4/7/26 18:09,4.695,205.06,45.832,7.89,168.49,2.29,-0.07,0.39,72.1,9.27
4/7/26 18:11,4.684,204.79,44.826,7.9,170.07,2.17,-0.1,0.39,72.98,9.39
4/7/26 18:13,4.679,204.46,43.803,7.93,170.6,2.14,-0.21,0.41,74.07,9.53
4/7/26 18:14,4.7,204.31,42.819,7.96,170.7,2.32,-0.15,0.41,74.8,9.62
4/7/26 18:16,4.701,204.32,41.793,7.96,171.38,2.13,-0.21,0.42,75.37,9.69
4/7/26 18:18,4.712,204.35,40.782,7.96,172.01,2.16,-0.16,0.39,75.4,9.69
4/7/26 18:19,4.733,204.51,39.821,7.95,172.65,2.42,-0.14,0.41,74.53,9.57
4/7/26 18:21,4.779,204.97,38.827,7.93,173.39,2.14,-0.18,0.42,74.49,9.56
4/7/26 18:23,4.805,204.78,37.809,7.96,173.16,2.05,-0.07,0.4,75.26,9.65
4/7/26 18:24,4.857,205.11,36.792,7.96,173.48,2.14,-0.13,0.4,75.01,9.61
4/7/26 18:26,4.896,205.32,35.761,7.95,173.86,2.07,-0.12,0.38,75.24,9.62
4/7/26 18:28,4.949,205.93,34.737,7.92,174.83,2.18,-0.18,0.39,73.29,9.36
4/7/26 18:29,5.024,206.21,33.742,7.92,174.89,2.07,-0.13,0.41,73.93,9.43
4/7/26 18:31,5.098,206.23,32.741,7.95,174.48,2.08,-0.21,0.42,75.11,9.56
4/7/26 18:33,5.343,207.36,31.77,7.97,174.43,1.97,-0.14,0.4,75.99,9.61
4/7/26 18:34,5.527,208.27,30.746,7.97,174.64,1.98,-0.06,0.41,76.26,9.6
4/7/26 18:36,5.639,208.78,29.742,7.97,175.03,1.91,-0.11,0.4,75.97,9.53
4/7/26 18:38,5.981,210.19,28.752,7.96,175.35,1.98,-0.08,0.38,76.14,9.47
4/7/26 18:39,6.167,210.25,27.792,7.95,175.9,1.87,0.02,0.38,75.05,9.29
4/7/26 18:41,6.387,210.56,26.715,7.94,176.18,2.04,0.01,0.39,74.79,9.21
4/7/26 18:43,6.777,210.95,25.805,7.93,176.34,2.25,-0.05,0.35,74.47,9.08
4/7/26 18:44,6.905,210.8,24.726,7.94,176.43,2.18,-0.04,0.37,74.72,9.08
4/7/26 18:46,7.076,211.47,23.83,7.94,176.57,2.4,-0.02,0.36,74.92,9.07
4/7/26 18:47,7.164,211.42,22.711,7.95,176.8,2.27,0.07,0.34,75.1,9.07
4/7/26 18:49,7.298,213.5,21.785,7.96,176.76,2.19,0.19,0.38,75.43,9.08
4/7/26 18:51,7.452,213.97,20.711,7.97,176.84,2.26,0.09,0.39,75.97,9.11
4/7/26 18:52,7.537,214.9,19.744,7.99,177,2.33,0,0.37,76.31,9.13
4/7/26 18:54,7.66,215.35,18.711,8,177.07,2.23,0.15,0.37,76.7,9.15
4/7/26 18:56,7.749,216.06,17.771,8.01,177.13,2.23,0.04,0.34,76.98,9.16
4/7/26 18:57,7.825,217,16.769,8.03,177.18,2.44,0.04,0.34,77.31,9.19
4/7/26 18:59,7.877,217.18,15.795,8.03,177.38,2.21,0.07,0.36,77.46,9.19
4/7/26 19:00,7.941,217.18,14.715,8.04,177.54,2.44,0.15,0.34,77.64,9.2
4/7/26 19:02,8.019,217.61,13.795,8.04,177.68,2.29,0.1,0.34,77.92,9.22
4/7/26 19:04,8.094,217.89,12.709,8.05,177.86,2.36,0.16,0.35,78.08,9.22
4/7/26 19:05,8.26,218.59,11.745,8.06,177.85,2.21,0.14,0.35,78.45,9.22
4/7/26 19:07,8.455,218.59,10.746,8.06,177.9,2.22,0.02,0.34,78.8,9.22
4/7/26 19:08,9.03,218.85,9.812,8.1,177.36,2.17,0.11,0.32,79.66,9.19
4/7/26 19:10,9.313,219.28,8.676,8.13,177,1.93,0.43,0.32,80.3,9.21
4/7/26 19:12,9.412,219.75,7.771,8.15,177.07,1.87,0.79,0.33,80.66,9.22
4/7/26 19:13,9.456,220.19,6.746,8.15,177.22,1.88,0.54,0.34,80.86,9.24
4/7/26 19:15,9.559,221.04,5.733,8.16,177.36,1.95,0.9,0.33,81.31,9.27
4/7/26 19:16,9.583,221.26,4.709,8.16,177.56,2.06,0.9,0.33,81.45,9.28
4/7/26 19:18,9.623,221.49,3.749,8.17,177.79,1.89,0.66,0.32,81.59,9.28
4/7/26 19:19,9.67,221.84,2.713,8.17,177.98,1.93,0.71,0.35,81.85,9.3
4/7/26 19:21,10.07,224.77,1.706,8.18,177.91,1.93,0.69,0.31,82.59,9.3
4/7/26 19:23,10.133,225.25,0.911,8.18,178.05,1.86,0.53,0.29,82.79,9.31
